0,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
1,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
2,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
3,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
4,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
5,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
6,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
7,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
8,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
9,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
10,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
11,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
12,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
13,1.194188481588503,1.2246076155050678,0.021484344131667873,0.008934789784896827
14,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
15,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
16,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
17,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
18,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
19,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
20,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
21,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
22,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
23,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
24,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
25,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
26,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
27,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
28,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
29,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
30,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
31,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
32,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
33,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
34,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
35,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
36,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
37,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
38,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
39,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
40,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
41,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
42,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
43,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
44,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
45,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
46,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
47,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
48,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
49,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
50,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
51,1.1171858948467284,1.181638927241732,0.06445303239500362,0.0
52,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
53,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
54,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
55,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
56,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
57,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
58,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
59,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
60,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
61,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
62,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
63,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
64,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
65,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
66,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
67,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
68,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
69,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
70,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
71,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
72,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
73,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
74,1.181638927241732,1.2031232713734,0.021484344131667873,0.0
75,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
76,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
77,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
78,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
79,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
80,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
81,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
82,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
83,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
84,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
85,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
86,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
87,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
88,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
89,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
90,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
91,0.7802738589410281,1.205636415656209,0.06445303239500363,0.36090952432017714
92,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
93,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
94,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
95,1.1494218176383704,1.2031232713734,0.021484344131667873,0.032217109603361604
96,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
97,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
98,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
99,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
100,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
101,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
102,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
103,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
104,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
105,0.8236125107748302,1.181638927241732,0.04296868826333575,0.3150577282035661
106,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
107,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
108,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
109,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
110,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
111,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
112,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
113,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
114,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
115,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
116,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
117,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
118,1.205636415656209,1.2271207597878768,0.021484344131667873,0.0
119,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
120,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
121,1.205636415656209,1.2271207597878768,0.021484344131667873,0.0
122,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
123,1.2031232713734,1.2246076155050678,0.021484344131667873,0.0
